site_no,sample_datetime,qualifier_flag,value,sdl,mdl,variable_code,unit,variable,variable_fr,qa_status,sample_id
BC08NL0001,2007-11-20 11:55:00,nan,0.0026,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000034
BC08NL0001,2007-11-20 11:55:00,nan,170.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000034
BC08NL0001,2007-11-20 11:55:00,nan,-1.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),V,08PY000034
BC08NL0001,2007-11-20 11:55:00,nan,0.5,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000034
BC08NL0001,2007-12-04 11:55:00,nan,1.31,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000070
BC08NL0001,2007-12-04 11:55:00,nan,30.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000070
BC08NL0001,2007-12-04 11:55:00,nan,0.998,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000070
BC08NL0001,2007-12-04 11:55:00,nan,0.15,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000070
BC08NL0001,2007-12-04 11:55:00,nan,96.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000070
BC08NL0001,2007-12-04 11:55:00,nan,1.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000070
BC08NL0001,2007-12-04 11:55:00,nan,93.1,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000070
BC08NL0001,2007-12-18 10:00:00,nan,0.43,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000112
BC08NL0001,2007-12-18 10:00:00,nan,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000112
BC08NL0001,2007-12-18 10:00:00,nan,0.008,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000112
BC08NL0001,2007-12-18 10:00:00,nan,0.0095,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000112
BC08NL0001,2007-12-18 10:00:00,nan,140.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000112
BC08NL0001,2007-12-18 10:00:00,nan,1.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000112
BC08NL0001,2007-12-18 10:00:00,nan,1.7,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000112
BC08NL0001,2008-01-02 11:55:00,nan,0.42,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000836
BC08NL0001,2008-01-02 11:55:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000836
BC08NL0001,2008-01-02 11:55:00,nan,0.17,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000836
BC08NL0001,2008-01-02 11:55:00,nan,0.0032,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000836
BC08NL0001,2008-01-02 11:55:00,nan,160.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000836
BC08NL0001,2008-01-02 11:55:00,nan,1.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000836
BC08NL0001,2008-01-02 11:55:00,nan,0.8,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000836
BC08NL0001,2008-01-14 14:00:00,nan,0.38,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000168
BC08NL0001,2008-01-14 14:00:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000168
BC08NL0001,2008-01-14 14:00:00,nan,0.138,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000168
BC08NL0001,2008-01-14 14:00:00,nan,0.0036,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000168
BC08NL0001,2008-01-14 14:00:00,nan,150.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000168
BC08NL0001,2008-01-14 14:00:00,nan,0.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),V,08PY000168
BC08NL0001,2008-01-14 14:00:00,nan,0.4,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000168
BC08NL0001,2008-01-29 10:30:00,nan,0.38,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000192
BC08NL0001,2008-01-29 10:30:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000192
BC08NL0001,2008-01-29 10:30:00,nan,0.13,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000192
BC08NL0001,2008-01-29 10:30:00,nan,0.0031,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000192
BC08NL0001,2008-01-29 10:30:00,nan,160.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000192
BC08NL0001,2008-01-29 10:30:00,nan,-1.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),V,08PY000192
BC08NL0001,2008-01-29 10:30:00,nan,0.6,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000192
BC08NL0001,2008-02-12 10:05:00,nan,0.43,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000230
BC08NL0001,2008-02-12 10:05:00,nan,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000230
BC08NL0001,2008-02-12 10:05:00,nan,0.049,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000230
BC08NL0001,2008-02-12 10:05:00,nan,0.0083,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000230
BC08NL0001,2008-02-12 10:05:00,nan,160.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000230
BC08NL0001,2008-02-12 10:05:00,nan,0.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),V,08PY000230
BC08NL0001,2008-02-12 10:05:00,nan,0.8,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000230
BC08NL0001,2008-02-26 11:05:00,nan,0.41,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000256
BC08NL0001,2008-02-26 11:05:00,nan,3.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000256
BC08NL0001,2008-02-26 11:05:00,nan,0.35,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000256
BC08NL0001,2008-02-26 11:05:00,nan,0.0091,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000256
BC08NL0001,2008-02-26 11:05:00,nan,160.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000256
BC08NL0001,2008-02-26 11:05:00,nan,0.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),V,08PY000256
BC08NL0001,2008-02-26 11:05:00,nan,1.4,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000256
BC08NL0001,2008-03-11 10:15:00,nan,0.47,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000307
BC08NL0001,2008-03-11 10:15:00,nan,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000307
BC08NL0001,2008-03-11 10:15:00,nan,0.091,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000307
BC08NL0001,2008-03-11 10:15:00,nan,0.0097,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000307
BC08NL0001,2008-03-11 10:15:00,nan,170.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000307
BC08NL0001,2008-03-11 10:15:00,nan,0.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),V,08PY000307
BC08NL0001,2008-03-11 10:15:00,nan,3.1,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000307
BC08NL0001,2008-03-25 11:15:00,nan,0.39,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000359
BC08NL0001,2008-03-25 11:15:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000359
BC08NL0001,2008-03-25 11:15:00,nan,0.296,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000359
BC08NL0001,2008-03-25 11:15:00,nan,0.0051,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000359
BC08NL0001,2008-03-25 11:15:00,nan,170.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000359
BC08NL0001,2008-03-25 11:15:00,nan,0.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),V,08PY000359
BC08NL0001,2008-03-25 11:15:00,nan,1.1,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000359
BC08NL0001,2008-04-08 10:15:00,nan,0.42,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000403
BC08NL0001,2008-04-08 10:15:00,nan,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000403
BC08NL0001,2008-04-08 10:15:00,nan,0.159,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000403
BC08NL0001,2008-04-08 10:15:00,nan,190.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000403
BC08NL0001,2008-04-08 10:15:00,nan,3.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000403
BC08NL0001,2008-04-08 10:15:00,nan,1.3,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000403
BC08NL0001,2008-04-22 09:10:00,nan,0.44,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000839
BC08NL0001,2008-04-22 09:10:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000839
BC08NL0001,2008-04-22 09:10:00,nan,0.081,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000839
BC08NL0001,2008-04-22 09:10:00,nan,160.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000839
BC08NL0001,2008-04-22 09:10:00,nan,1.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000839
BC08NL0001,2008-04-22 09:10:00,nan,1.3,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000839
BC08NL0001,2008-05-06 10:15:00,nan,0.48,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000488
BC08NL0001,2008-05-06 10:15:00,nan,1.47,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000488
BC08NL0001,2008-05-06 10:15:00,nan,4.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000488
BC08NL0001,2008-05-06 10:15:00,nan,0.021,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000488
BC08NL0001,2008-05-06 10:15:00,nan,1.06,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000488
BC08NL0001,2008-05-06 10:15:00,nan,110.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000488
BC08NL0001,2008-05-06 10:15:00,nan,5.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000488
BC08NL0001,2008-05-06 10:15:00,nan,38.2,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000488
BC08NL0001,2008-05-13 10:15:00,nan,0.42,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000545
BC08NL0001,2008-05-13 10:15:00,nan,0.54,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000545
BC08NL0001,2008-05-13 10:15:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000545
BC08NL0001,2008-05-13 10:15:00,nan,0.023,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000545
BC08NL0001,2008-05-13 10:15:00,nan,0.139,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000545
BC08NL0001,2008-05-13 10:15:00,nan,110.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000545
BC08NL0001,2008-05-13 10:15:00,nan,4.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000545
BC08NL0001,2008-05-13 10:15:00,nan,4.3,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000545
BC08NL0001,2008-05-20 11:05:00,nan,0.5,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000558
BC08NL0001,2008-05-20 11:05:00,nan,4.05,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000558
BC08NL0001,2008-05-20 11:05:00,nan,96.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000558
BC08NL0001,2008-05-20 11:05:00,nan,0.038,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000558
BC08NL0001,2008-05-20 11:05:00,nan,6.64,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000558
BC08NL0001,2008-05-20 11:05:00,nan,62.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000558
BC08NL0001,2008-05-20 11:05:00,nan,4.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000558
BC08NL0001,2008-05-20 11:05:00,nan,56.6,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000558
BC08NL0001,2008-05-27 10:15:00,nan,0.42,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000827
BC08NL0001,2008-05-27 10:15:00,nan,1.48,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000827
BC08NL0001,2008-05-27 10:15:00,nan,6900.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000827
BC08NL0001,2008-05-27 10:15:00,nan,0.023,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000827
BC08NL0001,2008-05-27 10:15:00,nan,1.74,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000827
BC08NL0001,2008-05-27 10:15:00,nan,0.165,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000827
BC08NL0001,2008-05-27 10:15:00,nan,59.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000827
BC08NL0001,2008-05-27 10:15:00,nan,6.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000827
BC08NL0001,2008-05-27 10:15:00,nan,25.0,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000827
BC08NL0001,2008-06-03 11:05:00,nan,0.42,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000622
BC08NL0001,2008-06-03 11:05:00,nan,0.62,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000622
BC08NL0001,2008-06-03 11:05:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000622
BC08NL0001,2008-06-03 11:05:00,nan,0.016,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000622
BC08NL0001,2008-06-03 11:05:00,nan,0.833,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000622
BC08NL0001,2008-06-03 11:05:00,nan,0.0384,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000622
BC08NL0001,2008-06-03 11:05:00,nan,63.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000622
BC08NL0001,2008-06-03 11:05:00,nan,7.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000622
BC08NL0001,2008-06-03 11:05:00,nan,3.6,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000622
BC08NL0001,2008-06-17 10:05:00,nan,0.41,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000677
BC08NL0001,2008-06-17 10:05:00,nan,0.64,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000677
BC08NL0001,2008-06-17 10:05:00,nan,0.009,0.002,,1100,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P,08PY000677
BC08NL0001,2008-06-17 10:05:00,<,1.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000677
BC08NL0001,2008-06-17 10:05:00,nan,0.009,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000677
BC08NL0001,2008-06-17 10:05:00,nan,0.323,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000677
BC08NL0001,2008-06-17 10:05:00,nan,0.0272,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000677
BC08NL0001,2008-06-17 10:05:00,nan,61.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000677
BC08NL0001,2008-06-17 10:05:00,nan,6.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000677
BC08NL0001,2008-06-17 10:05:00,nan,5.2,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000677
BC08NL0001,2008-07-02 09:30:00,nan,0.52,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000744
BC08NL0001,2008-07-02 09:30:00,nan,0.82,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000744
BC08NL0001,2008-07-02 09:30:00,<,0.002,0.002,,1100,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P,08PY000744
BC08NL0001,2008-07-02 09:30:00,nan,20.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000744
BC08NL0001,2008-07-02 09:30:00,nan,0.009,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000744
BC08NL0001,2008-07-02 09:30:00,nan,0.438,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000744
BC08NL0001,2008-07-02 09:30:00,nan,0.0536,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000744
BC08NL0001,2008-07-02 09:30:00,nan,59.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000744
BC08NL0001,2008-07-02 09:30:00,nan,12.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000744
BC08NL0001,2008-07-02 09:30:00,nan,11.8,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000744
BC08NL0001,2008-07-15 10:05:00,nan,0.61,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,0.59,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,0.005,0.002,,1100,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,6.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,0.005,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,0.024,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,0.0065,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,90.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,14.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000759
BC08NL0001,2008-07-15 10:05:00,nan,0.8,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000759
BC08NL0001,2008-07-29 09:10:00,nan,0.57,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000934
BC08NL0001,2008-07-29 09:10:00,nan,0.004,0.002,,1100,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P,08PY000934
BC08NL0001,2008-07-29 09:10:00,nan,37.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000934
BC08NL0001,2008-07-29 09:10:00,nan,0.039,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000934
BC08NL0001,2008-07-29 09:10:00,nan,0.0071,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000934
BC08NL0001,2008-07-29 09:10:00,nan,140.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000934
BC08NL0001,2008-07-29 09:10:00,nan,15.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000934
BC08NL0001,2008-07-29 09:10:00,nan,0.7,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000934
BC08NL0001,2008-08-12 10:20:00,nan,0.57,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,0.57,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,0.002,0.002,,1100,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,8.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,0.068,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,0.09,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,0.0067,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,140.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,15.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000874
BC08NL0001,2008-08-12 10:20:00,nan,0.5,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000874
BC08NL0001,2008-08-26 13:10:00,nan,0.58,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,0.59,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,0.005,0.002,,1100,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,5.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,0.008,0.005,,97983,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,0.012,0.005,,97519,µG/L,LEAD TOTAL,PLOMB TOTAL,P,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,0.005,0.0005,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,160.0,1.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,15.0,0.1,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,08PY000985
BC08NL0001,2008-08-26 13:10:00,nan,0.4,0.1,,1062,NTU,TURBIDITY,TURBIDITÉ,V,08PY000985
BC08NL0001,2008-09-09 09:05:00,nan,0.51,0.01,,97964,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P,08PY001018
BC08NL0001,2008-09-09 09:05:00,nan,0.53,0.01,,97999,µG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,08PY001018
BC08NL0001,2008-09-09 09:05:00,nan,0.009,0.002,,1100,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P,08PY001018
